Company,Google Ticker,Yahoo Ticker,Price,Current MCap,P/E,Previous EPS,Current EPS,Current Net Profit,Earning Yield (%),Earning Growth Rate,PEG Ratio,Dividend %,ROE,Graham Number,Relatuve PE Val.,DCF.
MC,SET:MC,MC.BK,10.9,8.63 B,11.6,0.94,0.94,742.21 M,9.54%,8.62%,-2.70%,-4.296296296,19.35%,2.91,18.8,10.09
ICHI,SET:ICHI,ICHI.BK,13.5,17.55 B,13.24,1.02,1.02,1.33 B,8.21%,7.56%,48.80%,0.2713114754,23.37%,108.22,20.4,9.99
SAPPE,SET:SAPPE,SAPPE.BK,29.75,9.01 B,11.76,2.53,2.53,776.21 M,5.93%,8.50%,-35.20%,-0.3340909091,17.90%,-156.61,50.6,28.54
TISCO,SET:TISCO,TISCO.BK,113,90.47 B,13.58,8.32,8.32,6.66 B,6.92%,7.36%,-3.80%,-3.573684211,15.41%,7.49,166.4,100.7
BKIH,SET:BKIH,BKIH.BK,310,32.25 B,10.53,29.45,29.45,3.06 B,8.06%,9.50%,753.90%,0.01396736968,10.20%,44655.03,589,431.66
CPN,SET:CPN,CPN.BK,65.75,295.09 B,15.65,4.2,4.2,18.84 B,3.71%,6.39%,25.60%,0.611328125,16.74%,250.74,84,48.1
CPALL,SET:CPALL,CPALL.BK,45.75,407.88 B,14.76,3.1,3.1,27.75 B,3.59%,6.78%,1.80%,8.2,9.79%,37.51,62,31.68
BDMS,SET:BDMS,BDMS.BK,18.9,300.36 B,18.9,1,1,15.85 B,4.26%,5.29%,-14.80%,-1.277027027,15.30%,-21.1,20,12.24
ADVANC,SET:ADVANC,ADVANC.BK,379,1.13 T,23.54,16.1,16.1,47.89 B,4.55%,4.25%,54.30%,0.4335174954,46.81%,1885.31,322,114.25
GOOG,NASDAQ:GOOG,GOOG,306.94,3.71 T,28.39,10.81,10.81,132.17 B,0.28%,3.52%,31.10%,0.9128617363,35.71%,764.27,216.2,91.41
LLY,NYSE:LLY,LLY,939.25,840.65 B,40.93,22.95,22.95,20.64 B,0.63%,2.44%,51.40%,0.7963035019,101.16%,2554.34,459,123.75
NOVO,NYSE:NVO,NVO,38.46,171.52 B,10.83,3.55,3.55,102.43 B,4.82%,9.23%,-4.70%,-2.304255319,60.70%,-3.2,71,23.19
LVMH,EPA:MC,MC.PA,472.95,234.72 B,21.66,21.84,21.84,10.88 B,2.71%,4.62%,-1.40%,-15.47142857,16.24%,124.49,436.8,258.44
ASML,NASDAQ:ASML,ASML,1374.72,539.80 B,48.51,28.34,28.34,9.61 B,0.64%,2.06%,7.20%,6.7375,50.46%,648.99,566.8,192.85
BABA,NYSE:BABA,BABA,136.4,325.64 B,17.97,7.59,7.59,125.43 B,0.77%,5.56%,-51.80%,-0.3469111969,11.19%,-721.81,151.8,105
TENCENT,HKG:0700,0700.HK,550,4.96 T,21.79,25.24,25.24,217.91 B,0.81%,4.59%,20.10%,1.084079602,19.83%,1229.19,504.8,288.49
